id,title,authors,type,zotero_key,doi,source_url,collection_name,file_path,brief_synopsis,dimensions_json,open_questions,summary_alignment,needs_review,review_reason,analyzed_at,last_prompt_version,last_model,jel_codes,keywords,updated_at
50,Aggregate economic fluctuations in endogenous growth models,Elvan Ozlu,journalArticle,HBSWWCSG,10.1016/s0164-0704(96)80002-4,http://ideas.repec.org/a/eee/jmacro/v18y1996i1p27-47.html,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Aggregate Economic Fluctuations in Endogenous Growth Models.pdf,"No abstract is available for this item, so the source text provides no direct information about the paper's argument, methods, evidence, or conclusions. Based on the title alone, it likely concerns aggregate fluctuations within an endogenous growth framework, but that inference is tentative because the actual content is missing.",{},"[""What endogenous growth mechanism or model structure does the paper use to analyze aggregate fluctuations?"", ""Does the paper develop a theoretical model, an empirical test, or a quantitative calibration of business-cycle dynamics?"", ""How does the paper connect short-run aggregate fluctuations to long-run growth outcomes?""]",agree,0,,2026-04-12 20:07:03,v1,codex-cli,[],[],2026-04-12 20:07:03
35,An Empirical Examination of the Procyclicality of R&amp;D Investment and Innovation,", Kira R. Fabrizio, , Ulya Tsolmon",journalArticle,KC4E7QJ6,10.1162/rest_a_00412,https://doi.org/10.1162/rest_a_00412,Cyclicality of R&D,,"The paper examines why R&D investment and innovation appear procyclical despite the Schumpeterian opportunity cost hypothesis, which predicts more innovation during recessions. It argues that firms shift innovative activity into booms to better capture high-demand periods before product obsolescence or imitation erodes returns. The reported evidence supports this mechanism: R&D is more procyclical in industries with faster obsolescence, and innovation is more procyclical in industries with weaker intellectual property protection.",{},"[""What data, sample, and empirical identification strategy are used to test the procyclicality of R&D and innovation?"", ""How does the paper operationalize and measure industry obsolescence and the strength of IP protection?"", ""Does the analysis distinguish between R&D spending and realized innovation outcomes across firms or industries in different macroeconomic conditions?""]",agree,0,,2026-04-12 20:05:07,v1,codex-cli,,,2026-04-12 20:05:07
36,An Endogenous Approach to the Cyclicality of R&amp;D Investment under Credit Constraints: Firms’ Cash Flow Matters!,", Juan Laborda, , , Vicente Salas-Fumás, , Cristina Suárez",journalArticle,9N4HGP4X,10.3390/joitmc6020033,https://doi.org/10.3390/joitmc6020033,Cyclicality of R&D,,"The paper analyzes how firms' R&D spending responds to external financing constraints when those constraints are modeled as endogenous rather than fixed. Using a joint estimation of three interrelated equations, it finds that constrained firms spend roughly half as much on R&D as unconstrained firms and that the effect of the business cycle on perceived financing constraints depends on firms' internal cash flow. R&D is countercyclical for low-cash-flow firms, procyclical for high-cash-flow firms, and negatively related to aggregate leverage in the non-financial sector. The study argues that firm liquidity and macro-financial conditions are tightly linked to innovation investment and relevant for stabilization policy design.",{},"[""How is external financial constraint status identified within the endogenous model, and how robust are the results to alternative identification strategies?"", ""What firm characteristics beyond internal cash flow materially alter whether R&D behaves countercyclically or procyclically?"", ""How much of the negative association between aggregate leverage and R&D reflects credit supply conditions versus weaker demand or other macroeconomic shocks?"", ""Does the estimated relationship between credit constraints and R&D vary across industries, firm sizes, or institutional financing environments?""]",agree,0,,2026-04-12 20:05:15,v1,codex-cli,,,2026-04-12 20:05:15
79,Animal spirits through creative destruction,", Patrick Francois, , Huw Lloyd-Ellis",journalArticle,TQGIP4XQ,10.1257/000282803322156972,https://doi.org/10.1257/000282803322156972,Cyclicality of R&D,,"The paper argues that Schumpeterian creative destruction can generate rational herd behavior among entrepreneurs across sectors, creating dynamics that resemble ""animal spirits."" In the model, decentralized innovation produces recurring booms, slowdowns, and downturns as part of long-run growth rather than as separate short-run disturbances. The authors also find that the cyclical equilibrium delivers higher average growth but lower welfare than a comparable acyclical equilibrium, and they examine how the model fits observed business-cycle patterns. The source text does not provide methodological detail, so conclusions about mechanisms beyond these headline results should be treated cautiously.",{},"[""What specific mechanism in the model causes independent entrepreneurs in different sectors to synchronize their innovation activity?"", ""Why does the higher-growth cyclical equilibrium generate lower welfare than the comparable acyclical equilibrium?"", ""Under what conditions does the model produce a negative relationship between volatility and growth across cycling economies?""]",agree,0,,2026-04-12 20:10:15,v1,codex-cli,,,2026-04-12 20:10:15
80,Are Micro and Macro Labor Supply Elasticities Consistent? A Review of Evidence on the Intensive and Extensive Margins,"Raj Chetty, Adam Guren, Day Manoli, Andrea Weber",journalArticle,IQUT8HC9,10.1257/aer.101.3.471,http://www.aeaweb.org/articles.php?doi=10.1257/aer.101.3.471,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Are Micro and Macro Labor Supply Elasticities Consistent A Review of Evidence on the Intensive and Extensive Margins.pdf,"The paper reviews evidence comparing micro and macro labor supply elasticities on both the intensive and extensive margins. It concludes that micro estimates are broadly consistent with macro steady-state (Hicksian) elasticities relevant for cross-country comparisons. However, micro estimates of intertemporal substitution (Frisch) elasticities are far too small to explain business-cycle fluctuations in aggregate hours through preference-driven labor supply alone. The main unresolved puzzle is why employment fluctuates so strongly over the cycle relative to what tax-change-based micro evidence would predict.",{},"[""Why do employment rates vary so much over the business cycle compared with predictions based on micro evidence from tax policy changes?"", ""What mechanisms could reconcile small micro Frisch elasticities with large cyclical movements in aggregate hours?"", ""How should labor supply models incorporate extensive-margin responses when matching both cross-country differences and business-cycle dynamics?""]",agree,0,,2026-04-12 20:10:22,v1,codex-cli,"[""J23"", ""E24""]","[""labor supply elasticity"", ""macroeconomic models"", ""quasi-experimental evidence""]",2026-04-12 20:10:22
61,Are There Financing Constraints for R&amp;D and Investment in German Manufacturing Firms?,", Dietmar Harhoff",journalArticle,KXHBQPGC,10.1007/978-1-4757-3194-1_16,https://doi.org/10.1007/978-1-4757-3194-1_16,Cyclicality of R&D,,"The study uses a newly constructed panel of German manufacturing enterprises from 1990 to 1994 to estimate equations for both R&D and capital investment. Initial accelerator models show strong cash-flow sensitivity for both activities among smaller firms, but much of this weakens after accounting for error-correcting behavior; still, a significant positive cash-flow effect remains for small firms’ investment. For R&D, a weak but statistically significant cash-flow relationship persists for both small and large firms. Euler equation results are inconclusive overall, though large-firm investment estimates are broadly consistent with no financing constraints, and survey evidence suggests that small firms’ investment-cash flow sensitivity likely reflects financing constraints.",{},"[""How exactly are firms categorized as relatively small versus large, and how sensitive are the results to that cutoff?"", ""Why do Euler equation estimates for R&D fail to provide informative evidence on financing constraints?"", ""Do the survey-based indicators of financing constraints align quantitatively with the econometric cash-flow sensitivity results for small firms?""]",agree,0,,2026-04-12 20:07:59,v1,codex-cli,,,2026-04-12 20:07:59
26,Are technology improvements contractionary?,"Susanto Basu, John G. Fernald, Miles S. Kimball",journalArticle,B3TC2TV9,10.1257/aer.96.5.1418,http://ideas.repec.org/p/nbr/nberwo/10592.html,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Are Technology Improvements Contractionary.pdf,"The paper argues that aggregate technology improvements can be contractionary in the short run rather than immediately expansionary. Using a technology measure that adjusts for utilization, non-constant returns, imperfect competition, and aggregation effects, the authors find that input use and non-residential investment fall sharply on impact while output changes little. After several years, inputs and investment recover and output rises strongly. This pattern is inconsistent with standard one-sector real business cycle models but consistent with simple sticky-price models.",{},"[""How robust are the contractionary short-run effects to alternative ways of measuring utilization, market power, and returns to scale?"", ""What mechanisms in sticky-price models account for the delayed recovery of inputs and investment after a technology improvement?"", ""Which components of non-residential investment and input use drive the sharp short-run declines following a technology shock?""]",agree,0,,2026-04-12 20:04:06,v1,codex-cli,"[""E22"", ""E32"", ""O33""]",[],2026-04-12 20:04:06
153,Assessing the Contribution of Venture Capital to Innovation,"Samuel Kortum, Josh Lerner",journalArticle,2QAK5WPS,10.2307/2696354,http://doi.wiley.com/10.2307/2696354,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Assessing the Contribution of Venture Capital to Innovation.pdf,"The paper analyzes how venture capital affects patented invention in the United States across twenty industries over roughly three decades. It reports that industries with more venture capital activity have significantly higher patenting rates. To address causality concerns, the authors use several strategies, including exploiting a 1979 policy change that increased venture capital fundraising. The source text supports the view that venture capital contributes positively to measured innovation.",{},"[""Does the observed increase in patenting reflect more patents, higher-quality patents, or both?"", ""How strong is the causal effect once alternative industry-specific drivers of patenting are accounted for?"", ""Did the 1979 policy shift affect some industries more than others, and what explains that variation?""]",agree,0,,2026-04-12 20:17:41,v1,codex-cli,[],[],2026-04-12 20:17:41
124,Beyond Internal Capital Markets : The In-House Transmission of Adverse Sales Shocks and the Collateral Channel * Beyond Internal Capital Markets : The In-House Transmission of Adverse Sales Shocks and the Collateral Channel Abstract,Yuk Ying Chang,journalArticle,TJXBL2NZ,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Beyond Internal Capital Markets The In-House Transmission of Adverse Sales Shocks and the Collateral Channel.pdf,"The paper studies whether adverse shocks to some business segments reduce investment in other, non-shocked segments within the same firm. It finds that investment in non-shocked segments falls significantly relative to comparable segments in firms without such shocks. The evidence suggests this spillover is not mainly driven by lower internal funds, but by declining collateral values that restrict external financing. This supports an in-house collateral-channel mechanism consistent with Kiyotaki and Moore (1997).",{},"[""How does the strength of the collateral-channel spillover vary across firms with different asset tangibility or leverage levels?"", ""Do non-shocked segments with greater access to alternative external financing experience smaller investment declines after segment shocks?"", ""How persistent are the investment effects in non-shocked segments following an adverse shock to another segment?"", ""What types of collateral assets are most important in transmitting shocks across segments within the firm?""]",agree,0,,2026-04-12 20:14:33,v1,codex-cli,"[""G31"", ""G32"", ""G33""]","[""Internal Capital Markets"", ""Collateral Channel"", ""Transmission Mechanism""]",2026-04-12 20:14:33
187,Bosworth & Westaway   The influence of demand and supply side pressures on the quantity and quality of inventive activity,,preprint,MBV52KU3,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Bosworth & Westaway - The influence of demand and supply side pressures on the quantity and quality of inventive activity.pdf,"This preprint appears to examine how demand-side and supply-side pressures affect both the volume and quality of inventive activity. However, the provided source text contains no abstract or substantive content, so the specific arguments, methods, and findings are missing. Any characterization beyond the title is therefore tentative and inferred cautiously from the paper’s stated topic.",{},"[""How do the authors define and measure demand-side versus supply-side pressures on inventive activity?"", ""What indicators are used to distinguish the quantity of invention from the quality of invention?"", ""What empirical strategy, dataset, or case material does the preprint use to identify these effects?""]",drift,0,,2026-04-12 20:21:40,v1,codex-cli,[],[],2026-04-12 20:21:40
204,Business Cycle Fluctuations in U.S. Macroeconomic Time Series,,preprint,NFFCEFB9,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycle Fluctuations in U.S. Macroeconomic Time Series.pdf,,"{""dimension_i"":"""",""dimension_ii"":"""",""dimension_iii"":"""",""dimension_iv"":""""}",,,0,,,,,,,2026-04-12 18:49:20
51,Business Cycle Models with Endogenous Technology,George W Stadler,journalArticle,YWDXWBIS,,http://econpapers.repec.org/RePEc:aea:aecrev:v:80:y:1990:i:4:p:763-78,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycle Models with Endogenous Technology.pdf,"The paper compares real and monetary business cycle models under exogenous versus endogenous technical change. It argues that when technology is endogenous, model behavior shifts substantially: real and monetary models generate similar output dynamics, and aggregate demand shocks can have lasting effects on productivity, employment, and output. It also considers how technology depreciation matters and briefly discusses cyclical real wage movements when money wages are fixed but technology continues to change.",{},"[""What mechanisms in the model make real and monetary business cycle frameworks produce similar output processes once technology is endogenous?"", ""Under what assumptions do aggregate demand changes generate permanent effects on productivity, employment, and output?"", ""How is technology depreciation modeled, and how important is it quantitatively for business cycle dynamics?"", ""When money wages are fixed, how do endogenous technology changes alter the cyclical path of real wages?""]",agree,0,,2026-04-12 20:07:09,v1,codex-cli,"[""J13""]",[],2026-04-12 20:07:09
190,Business Cycles A Theoretical Historical and Statistical Analysis of the Capitalist Process,,preprint,5JDPJUNC,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycles A Theoretical Historical and Statistical Analysis of the Capitalist Process.pdf,,"{""dimension_i"":"""",""dimension_ii"":"""",""dimension_iii"":"""",""dimension_iv"":""""}",,,0,,,,,,,2026-04-12 18:49:20
142,Business Cycles with Endogenous Growth,"Robert G King, Sergio T Rebelo",journalArticle,IJC84BB5,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycles with Endogenous Growth.pdf,"King and Rebelo argue that business-cycle analysis should be integrated with models that also explain endogenous long-run growth, rather than separating fluctuations from growth trends. In the framework described, sustained growth must arise even when technology and preferences are time-stationary. Under those conditions, shocks do not simply generate temporary deviations around trend; they can cause permanent shifts in the path of aggregate economic activity. The source text does not provide the model's formal mechanisms, so this summary is necessarily high-level.",{},"[""What specific endogenous growth mechanism in the paper generates sustained growth despite time-stationary technology and preferences?"", ""How do the authors distinguish empirically between permanent shifts in activity and traditional transitory business-cycle fluctuations?"", ""What types of shocks in the model produce permanent effects on output, employment, or growth trajectories?"", ""What assumptions are necessary for cycles to become permanent shifts rather than self-correcting deviations?""]",agree,0,,2026-04-12 20:16:29,v1,codex-cli,[],[],2026-04-12 20:16:29
147,Business Cycles with Heterogeneous Agents,Roger E A Farmer,journalArticle,SS5YTTRI,,,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycles with Heterogeneous Agents.pdf,"The paper presents a stochastic overlapping-generations model with heterogeneous agents and an aggregate shock, structured so that the standard RBC model appears as a special case. It studies three calibrations: an RBC-like benchmark, a heterogeneous-agent economy without corporate taxes, and one with corporate income taxes. The framework is used to explain the low safe interest rate observed in U.S. data and variation in investment-to-GDP ratios and profit shares across model setups.",{},"[""What specific mechanisms in the heterogeneous-agent structure generate the lower safe interest rate relative to the RBC benchmark?"", ""How much do corporate income taxes quantitatively change investment-to-GDP ratios and profit shares between the HA and HATAX calibrations?"", ""What dimensions of household heterogeneity are included in the overlapping-generations model, and which are omitted?""]",agree,0,,2026-04-12 20:17:03,v1,codex-cli,[],"[""Business Cycles"", ""Heterogeneous Agents"", ""RBC Model""]",2026-04-12 20:17:03
160,Business cycles and investment in human capital: international evidence on higher education,"Plutarchos Sakellaris, Antonio Spilimbergo",journalArticle,IIDZNSZQ,10.1016/s0167-2231(00)00024-5,http://www.sciencedirect.com/science/article/pii/S0167223100000245,Cyclicality of R&D,/Users/pedro/Documents/Projects/papers/cyclicality/references/Business Cycles and Investment in Human Capital International Evidence on Higher Education.pdf,"The paper examines how economic fluctuations affect investment in higher education across many countries, with particular attention to foreign students enrolling in U.S. universities. It finds a strong link between enrollment and the business cycle in students' home countries, but the pattern differs sharply by country group: enrollment from OECD countries is countercyclical, while enrollment from non-OECD countries is procyclical. The authors argue that opportunity cost primarily explains OECD patterns, whereas ability to pay and credit constraints are more important in non-OECD countries. They report that similar results appear in domestic enrollment data from national sources.",{},"[""How consistent are these countercyclical versus procyclical enrollment patterns across individual countries within the OECD and non-OECD groups?"", ""What specific measures of credit constraints and ability to pay best explain the procyclical enrollment response in non-OECD countries?"", ""Do the same business-cycle mechanisms affect domestic higher education enrollment and international student mobility to the same degree?""]",agree,0,,2026-04-12 20:18:26,v1,codex-cli,[],"[""business cycles"", ""investment in human capital"", ""higher education""]",2026-04-12 20:18:26
81,Business cycles and investment in intangibles: evidence from Spanish firms,", Paloma Lopez-Garcia, , José Manuel Montero, , Enrique Moral-Benito",journalArticle,E9C4GMNK,10.2139/ssrn.2064535,https://doi.org/10.2139/ssrn.2064535,Cyclicality of R&D,,"The paper studies Spanish firms from 1991 to 2010 to test the opportunity-cost theory, which predicts that productivity-enhancing investments like R&D should rise in downturns when the forgone-output cost is lower. It finds that R&D can be countercyclical, but this pattern is reversed for firms facing credit constraints. On-the-job training is countercyclical regardless of financial constraints, while patent purchases are broadly acyclical, possibly indicating substitution with internal R&D over the cycle. The paper also examines complementarities between intangible investments and traditional inputs to assess indirect effects on long-run growth.",{},"[""How large is the substitution effect between internal R&D and patent purchases across different phases of the business cycle?"", ""Which firm characteristics besides credit access best predict whether R&D remains countercyclical during downturns?"", ""How do complementarities between intangible investment and labour or physical capital translate into long-run productivity growth?""]",agree,0,,2026-04-12 20:10:29,v1,codex-cli,,,2026-04-12 20:10:29
