t,y_e_brbc,c_e_brbc,i_e_brbc,k_e_brbc,w_e_brbc,l_e_brbc,R_e_brbc,Pi_e_brbc,r_e_brbc,y_e_innov1,c_e_innov1,i_e_innov1,k_e_innov1,w_e_innov1,l_e_innov1,R_e_innov1,Pi_e_innov1,r_e_innov1,ce_e_innov1,om_e_innov1,g_e_innov1,z_e_innov1,V_e_innov1
21,.005711,.002984,.001567,.051086,.005905,.000066,-.000058,.001318,-.000058,.005711,.002984,.001567,.051086,.005905,.000066,-.000058,.001318,-.000058,.001026,-.000052,3.4e-06,.000134,.008345
22,.005515,.002941,.001445,.05087,.005751,.000046,-.000062,.001273,-.000062,.005515,.002941,.001445,.05087,.005751,.000046,-.000062,.001273,-.000062,.000999,-.000047,3.3e-06,.00013,.008112
23,.005324,.002896,.001331,.050547,.005598,.000028,-.000067,.001229,-.000067,.005324,.002896,.001331,.050547,.005598,.000028,-.000067,.001229,-.000067,.000971,-.000042,3.2e-06,.000126,.007881
24,.005139,.002848,.001225,.050131,.005446,.000012,-.00007,.001186,-.00007,.005139,.002848,.001225,.050131,.005446,.000012,-.00007,.001186,-.00007,.000944,-.000037,3.1e-06,.000123,.007652
25,.004959,.002797,.001126,.04963,.005295,-3.4e-06,-.000073,.001144,-.000073,.004959,.002797,.001126,.04963,.005295,-3.4e-06,-.000073,.001144,-.000073,.000917,-.000033,3.0e-06,.000119,.007427
26,.004784,.002744,.001033,.049054,.005146,-.000017,-.000076,.001104,-.000076,.004784,.002744,.001033,.049054,.005146,-.000017,-.000076,.001104,-.000076,.000891,-.000029,2.9e-06,.000116,.007206
27,.004614,.00269,.000948,.048412,.004998,-.000029,-.000078,.001065,-.000078,.004614,.00269,.000948,.048412,.004998,-.000029,-.000078,.001065,-.000078,.000864,-.000026,2.8e-06,.000113,.006988
28,.00445,.002634,.000868,.047712,.004852,-.00004,-.000079,.001027,-.000079,.00445,.002634,.000868,.047712,.004852,-.00004,-.000079,.001027,-.000079,.000839,-.000022,2.8e-06,.000109,.006773
29,.00429,.002577,.000794,.046962,.004709,-.00005,-.000081,.00099,-.000081,.00429,.002577,.000794,.046962,.004709,-.00005,-.000081,.00099,-.000081,.000813,-.000019,2.7e-06,.000106,.006563
30,.004135,.002519,.000725,.046167,.004567,-.000058,-.000082,.000954,-.000082,.004135,.002519,.000725,.046167,.004567,-.000058,-.000082,.000954,-.000082,.000788,-.000016,2.6e-06,.000103,.006357
31,.003985,.002461,.000661,.045335,.004428,-.000066,-.000083,.00092,-.000083,.003985,.002461,.000661,.045335,.004428,-.000066,-.000083,.00092,-.000083,.000764,-.000014,2.5e-06,.000099,.006155
32,.003839,.002402,.000601,.044471,.004292,-.000073,-.000083,.000886,-.000083,.003839,.002402,.000601,.044471,.004292,-.000073,-.000083,.000886,-.000083,.00074,-.000012,2.4e-06,.000096,.005957
33,.003698,.002343,.000546,.04358,.004158,-.000078,-.000083,.000853,-.000083,.003698,.002343,.000546,.04358,.004158,-.000078,-.000083,.000853,-.000083,.000716,-9.4e-06,2.4e-06,.000093,.005764
34,.003562,.002283,.000495,.042667,.004027,-.000084,-.000083,.000822,-.000083,.003562,.002283,.000495,.042667,.004027,-.000084,-.000083,.000822,-.000083,.000693,-7.5e-06,2.3e-06,.00009,.005576
35,.00343,.002224,.000448,.041737,.003898,-.000088,-.000083,.000792,-.000083,.00343,.002224,.000448,.041737,.003898,-.000088,-.000083,.000792,-.000083,.000671,-5.7e-06,2.2e-06,.000087,.005391
36,.003302,.002165,.000404,.040794,.003772,-.000092,-.000082,.000762,-.000082,.003302,.002165,.000404,.040794,.003772,-.000092,-.000082,.000762,-.000082,.000649,-4.1e-06,2.1e-06,.000084,.005211
37,.003179,.002107,.000363,.039841,.003649,-.000095,-.000082,.000734,-.000082,.003179,.002107,.000363,.039841,.003649,-.000095,-.000082,.000734,-.000082,.000628,-2.6e-06,2.1e-06,.000082,.005036
38,.00306,.002048,.000326,.038881,.003529,-.000098,-.000081,.000706,-.000081,.00306,.002048,.000326,.038881,.003529,-.000098,-.000081,.000706,-.000081,.000607,-1.3e-06,2.0e-06,.000079,.004866
39,.002944,.001991,.000291,.037918,.003412,-.0001,-.00008,.000679,-.00008,.002944,.001991,.000291,.037918,.003412,-.0001,-.00008,.000679,-.00008,.000586,-5.6e-08,1.9e-06,.000076,.004699
40,.002833,.001934,.000259,.036954,.003298,-.000101,-.000079,.000654,-.000079,.002833,.001934,.000259,.036954,.003298,-.000101,-.000079,.000654,-.000079,.000566,1.0e-06,1.9e-06,.000074,.004538
41,.002725,.001878,.000229,.035992,.003187,-.000103,-.000078,.000629,-.000078,.002725,.001878,.000229,.035992,.003187,-.000103,-.000078,.000629,-.000078,.000547,2.0e-06,1.8e-06,.000071,.00438
42,.002621,.001822,.000202,.035034,.003078,-.000104,-.000077,.000605,-.000077,.002621,.001822,.000202,.035034,.003078,-.000104,-.000077,.000605,-.000077,.000528,2.9e-06,1.7e-06,.000069,.004227
43,.002521,.001768,.000177,.034082,.002973,-.000104,-.000076,.000582,-.000076,.002521,.001768,.000177,.034082,.002973,-.000104,-.000076,.000582,-.000076,.00051,3.7e-06,1.7e-06,.000066,.004079
44,.002424,.001714,.000154,.033138,.00287,-.000104,-.000074,.000559,-.000074,.002424,.001714,.000154,.033138,.00287,-.000104,-.000074,.000559,-.000074,.000492,4.4e-06,1.6e-06,.000064,.003934
45,.00233,.001661,.000132,.032203,.00277,-.000104,-.000073,.000538,-.000073,.00233,.001661,.000132,.032203,.00277,-.000104,-.000073,.000538,-.000073,.000475,5.0e-06,1.6e-06,.000062,.003794
46,.00224,.00161,.000113,.031279,.002673,-.000104,-.000072,.000517,-.000072,.00224,.00161,.000113,.031279,.002673,-.000104,-.000072,.000517,-.000072,.000458,5.6e-06,1.5e-06,.00006,.003659
47,.002153,.001559,.000095,.030366,.002579,-.000103,-.00007,.000497,-.00007,.002153,.001559,.000095,.030366,.002579,-.000103,-.00007,.000497,-.00007,.000442,6.1e-06,1.5e-06,.000057,.003527
48,.002069,.001509,.000078,.029467,.002488,-.000103,-.000069,.000478,-.000069,.002069,.001509,.000078,.029467,.002488,-.000103,-.000069,.000478,-.000069,.000426,6.5e-06,1.4e-06,.000055,.003399
49,.001988,.001461,.000063,.028583,.002399,-.000102,-.000067,.000459,-.000067,.001988,.001461,.000063,.028583,.002399,-.000102,-.000067,.000459,-.000067,.000411,6.8e-06,1.4e-06,.000053,.003275
50,.00191,.001413,.00005,.027713,.002313,-.000101,-.000066,.000441,-.000066,.00191,.001413,.00005,.027713,.002313,-.000101,-.000066,.000441,-.000066,.000396,7.2e-06,1.3e-06,.000052,.003156
51,.001835,.001367,.000037,.026858,.002229,-.000099,-.000064,.000424,-.000064,.001835,.001367,.000037,.026858,.002229,-.000099,-.000064,.000424,-.000064,.000381,7.4e-06,1.3e-06,.00005,.00304
52,.001763,.001322,.000026,.02602,.002149,-.000098,-.000063,.000407,-.000063,.001763,.001322,.000026,.02602,.002149,-.000098,-.000063,.000407,-.000063,.000367,7.6e-06,1.2e-06,.000048,.002927
53,.001693,.001278,.000016,.025199,.00207,-.000097,-.000061,.000391,-.000061,.001693,.001278,.000016,.025199,.00207,-.000097,-.000061,.000391,-.000061,.000354,7.8e-06,1.2e-06,.000046,.002819
54,.001626,.001234,6.2e-06,.024395,.001994,-.000095,-.000059,.000375,-.000059,.001626,.001234,6.2e-06,.024395,.001994,-.000095,-.000059,.000375,-.000059,.000341,8.0e-06,1.1e-06,.000044,.002713
55,.001561,.001193,-2.2e-06,.023609,.001921,-.000093,-.000058,.00036,-.000058,.001561,.001193,-2.2e-06,.023609,.001921,-.000093,-.000058,.00036,-.000058,.000328,8.1e-06,1.1e-06,.000043,.002612
56,.001499,.001152,-9.9e-06,.02284,.00185,-.000092,-.000056,.000346,-.000056,.001499,.001152,-9.9e-06,.02284,.00185,-.000092,-.000056,.000346,-.000056,.000316,8.1e-06,1.0e-06,.000041,.002514
57,.001439,.001112,-.000017,.022089,.001781,-.00009,-.000055,.000332,-.000055,.001439,.001112,-.000017,.022089,.001781,-.00009,-.000055,.000332,-.000055,.000304,8.2e-06,1.0e-06,.00004,.002419
58,.001381,.001073,-.000023,.021356,.001714,-.000088,-.000053,.000319,-.000053,.001381,.001073,-.000023,.021356,.001714,-.000088,-.000053,.000319,-.000053,.000293,8.2e-06,9.6e-07,.000038,.002327
59,.001326,.001036,-.000028,.020641,.00165,-.000086,-.000052,.000306,-.000052,.001326,.001036,-.000028,.020641,.00165,-.000086,-.000052,.000306,-.000052,.000282,8.2e-06,9.3e-07,.000037,.002238
60,.001272,.000999,-.000033,.019945,.001588,-.000084,-.00005,.000294,-.00005,.001272,.000999,-.000033,.019945,.001588,-.000084,-.00005,.000294,-.00005,.000271,8.2e-06,8.9e-07,.000035,.002153
61,.001221,.000964,-.000038,.019266,.001528,-.000082,-.000049,.000282,-.000049,.001221,.000964,-.000038,.019266,.001528,-.000082,-.000049,.000282,-.000049,.000261,8.2e-06,8.6e-07,.000034,.00207
62,.001172,.00093,-.000041,.018606,.00147,-.00008,-.000047,.00027,-.000047,.001172,.00093,-.000041,.018606,.00147,-.00008,-.000047,.00027,-.000047,.000251,8.1e-06,8.2e-07,.000033,.00199
63,.001124,.000896,-.000045,.017963,.001414,-.000078,-.000046,.000259,-.000046,.001124,.000896,-.000045,.017963,.001414,-.000078,-.000046,.000259,-.000046,.000241,8.0e-06,7.9e-07,.000031,.001913
64,.001078,.000864,-.000048,.017339,.001359,-.000076,-.000044,.000249,-.000044,.001078,.000864,-.000048,.017339,.001359,-.000076,-.000044,.000249,-.000044,.000232,8.0e-06,7.6e-07,.00003,.001839
65,.001034,.000833,-.00005,.016732,.001307,-.000074,-.000043,.000239,-.000043,.001034,.000833,-.00005,.016732,.001307,-.000074,-.000043,.000239,-.000043,.000223,7.9e-06,7.3e-07,.000029,.001768
66,.000992,.000802,-.000052,.016142,.001257,-.000073,-.000042,.000229,-.000042,.000992,.000802,-.000052,.016142,.001257,-.000073,-.000042,.000229,-.000042,.000214,7.8e-06,7.0e-07,.000028,.001699
67,.000951,.000773,-.000054,.01557,.001208,-.000071,-.00004,.00022,-.00004,.000951,.000773,-.000054,.01557,.001208,-.000071,-.00004,.00022,-.00004,.000206,7.7e-06,6.8e-07,.000027,.001632
68,.000912,.000745,-.000056,.015014,.001161,-.000069,-.000039,.000211,-.000039,.000912,.000745,-.000056,.015014,.001161,-.000069,-.000039,.000211,-.000039,.000198,7.5e-06,6.5e-07,.000026,.001568
69,.000875,.000717,-.000057,.014475,.001116,-.000067,-.000038,.000202,-.000038,.000875,.000717,-.000057,.014475,.001116,-.000067,-.000038,.000202,-.000038,.00019,7.4e-06,6.3e-07,.000025,.001506
70,.000839,.00069,-.000058,.013953,.001072,-.000065,-.000037,.000194,-.000037,.000839,.00069,-.000058,.013953,.001072,-.000065,-.000037,.000194,-.000037,.000183,7.3e-06,6.0e-07,.000024,.001447
71,.000804,.000665,-.000058,.013446,.00103,-.000063,-.000035,.000186,-.000035,.000804,.000665,-.000058,.013446,.00103,-.000063,-.000035,.000186,-.000035,.000175,7.1e-06,5.8e-07,.000023,.00139
72,.000771,.00064,-.000059,.012956,.00099,-.000061,-.000034,.000178,-.000034,.000771,.00064,-.000059,.012956,.00099,-.000061,-.000034,.000178,-.000034,.000168,7.0e-06,5.5e-07,.000022,.001334
73,.000739,.000616,-.000059,.012481,.000951,-.000059,-.000033,.000171,-.000033,.000739,.000616,-.000059,.012481,.000951,-.000059,-.000033,.000171,-.000033,.000162,6.8e-06,5.3e-07,.000021,.001281
74,.000708,.000592,-.000059,.012021,.000913,-.000057,-.000032,.000163,-.000032,.000708,.000592,-.000059,.012021,.000913,-.000057,-.000032,.000163,-.000032,.000155,6.7e-06,5.1e-07,.00002,.00123
75,.000679,.00057,-.000059,.011576,.000877,-.000056,-.000031,.000157,-.000031,.000679,.00057,-.000059,.011576,.000877,-.000056,-.000031,.000157,-.000031,.000149,6.5e-06,4.9e-07,.000019,.001181
76,.000651,.000548,-.000059,.011145,.000842,-.000054,-.00003,.00015,-.00003,.000651,.000548,-.000059,.011145,.000842,-.000054,-.00003,.00015,-.00003,.000143,6.4e-06,4.7e-07,.000019,.001133
77,.000624,.000527,-.000059,.010729,.000808,-.000052,-.000029,.000144,-.000029,.000624,.000527,-.000059,.010729,.000808,-.000052,-.000029,.000144,-.000029,.000137,6.2e-06,4.5e-07,.000018,.001088
78,.000598,.000507,-.000058,.010326,.000776,-.000051,-.000028,.000138,-.000028,.000598,.000507,-.000058,.010326,.000776,-.000051,-.000028,.000138,-.000028,.000132,6.1e-06,4.3e-07,.000017,.001044
79,.000573,.000487,-.000058,.009937,.000745,-.000049,-.000027,.000132,-.000027,.000573,.000487,-.000058,.009937,.000745,-.000049,-.000027,.000132,-.000027,.000127,5.9e-06,4.2e-07,.000016,.001002
80,.000549,.000468,-.000057,.009561,.000715,-.000047,-.000026,.000127,-.000026,.000549,.000468,-.000057,.009561,.000715,-.000047,-.000026,.000127,-.000026,.000122,5.8e-06,4.0e-07,.000016,.000961
81,.000526,.00045,-.000057,.009197,.000686,-.000046,-.000025,.000121,-.000025,.000526,.00045,-.000057,.009197,.000686,-.000046,-.000025,.000121,-.000025,.000117,5.6e-06,3.8e-07,.000015,.000922
82,.000503,.000433,-.000056,.008847,.000659,-.000044,-.000024,.000116,-.000024,.000503,.000433,-.000056,.008847,.000659,-.000044,-.000024,.000116,-.000024,.000112,5.5e-06,3.7e-07,.000015,.000884
83,.000482,.000416,-.000055,.008508,.000632,-.000043,-.000023,.000111,-.000023,.000482,.000416,-.000055,.008508,.000632,-.000043,-.000023,.000111,-.000023,.000107,5.3e-06,3.5e-07,.000014,.000848
84,.000462,.0004,-.000054,.008181,.000606,-.000041,-.000022,.000107,-.000022,.000462,.0004,-.000054,.008181,.000606,-.000041,-.000022,.000107,-.000022,.000103,5.2e-06,3.4e-07,.000013,.000814
85,.000442,.000384,-.000053,.007865,.000582,-.00004,-.000022,.000102,-.000022,.000442,.000384,-.000053,.007865,.000582,-.00004,-.000022,.000102,-.000022,.000099,5.0e-06,3.3e-07,.000013,.00078
86,.000424,.000369,-.000052,.007561,.000558,-.000039,-.000021,.000098,-.000021,.000424,.000369,-.000052,.007561,.000558,-.000039,-.000021,.000098,-.000021,.000095,4.9e-06,3.1e-07,.000012,.000748
87,.000406,.000354,-.000051,.007267,.000535,-.000037,-.00002,.000094,-.00002,.000406,.000354,-.000051,.007267,.000535,-.000037,-.00002,.000094,-.00002,.000091,4.7e-06,3.0e-07,.000012,.000718
88,.000389,.00034,-.00005,.006984,.000513,-.000036,-.000019,.00009,-.000019,.000389,.00034,-.00005,.006984,.000513,-.000036,-.000019,.00009,-.000019,.000087,4.6e-06,2.9e-07,.000011,.000688
89,.000372,.000327,-.000049,.006711,.000492,-.000035,-.000019,.000086,-.000019,.000372,.000327,-.000049,.006711,.000492,-.000035,-.000019,.000086,-.000019,.000084,4.4e-06,2.7e-07,.000011,.00066
90,.000356,.000314,-.000048,.006448,.000472,-.000034,-.000018,.000082,-.000018,.000356,.000314,-.000048,.006448,.000472,-.000034,-.000018,.000082,-.000018,.00008,4.3e-06,2.6e-07,.00001,.000632
91,.000341,.000301,-.000047,.006195,.000453,-.000032,-.000017,.000079,-.000017,.000341,.000301,-.000047,.006195,.000453,-.000032,-.000017,.000079,-.000017,.000077,4.2e-06,2.5e-07,1.0e-05,.000606
92,.000326,.000289,-.000046,.00595,.000434,-.000031,-.000017,.000075,-.000017,.000326,.000289,-.000046,.00595,.000434,-.000031,-.000017,.000075,-.000017,.000074,4.0e-06,2.4e-07,9.6e-06,.000581
93,.000313,.000277,-.000045,.005715,.000416,-.00003,-.000016,.000072,-.000016,.000313,.000277,-.000045,.005715,.000416,-.00003,-.000016,.000072,-.000016,.000071,3.9e-06,2.3e-07,9.2e-06,.000557
94,.000299,.000266,-.000043,.005488,.000399,-.000029,-.000015,.000069,-.000015,.000299,.000266,-.000043,.005488,.000399,-.000029,-.000015,.000069,-.000015,.000068,3.8e-06,2.2e-07,8.8e-06,.000534
95,.000286,.000255,-.000042,.00527,.000382,-.000028,-.000015,.000066,-.000015,.000286,.000255,-.000042,.00527,.000382,-.000028,-.000015,.000066,-.000015,.000065,3.7e-06,2.1e-07,8.4e-06,.000511
96,.000274,.000245,-.000041,.00506,.000366,-.000027,-.000014,.000063,-.000014,.000274,.000245,-.000041,.00506,.000366,-.000027,-.000014,.000063,-.000014,.000062,3.5e-06,2.0e-07,8.1e-06,.00049
97,.000262,.000235,-.00004,.004858,.000351,-.000026,-.000014,.000061,-.000014,.000262,.000235,-.00004,.004858,.000351,-.000026,-.000014,.000061,-.000014,.00006,3.4e-06,2.0e-07,7.7e-06,.000469
98,.000251,.000226,-.000039,.004663,.000336,-.000025,-.000013,.000058,-.000013,.000251,.000226,-.000039,.004663,.000336,-.000025,-.000013,.000058,-.000013,.000057,3.3e-06,1.9e-07,7.4e-06,.00045
99,.00024,.000216,-.000038,.004475,.000322,-.000024,-.000013,.000055,-.000013,.00024,.000216,-.000038,.004475,.000322,-.000024,-.000013,.000055,-.000013,.000055,3.2e-06,1.8e-07,7.1e-06,.000431
100,.00023,.000208,-.000037,.004295,.000309,-.000023,-.000012,.000053,-.000012,.00023,.000208,-.000037,.004295,.000309,-.000023,-.000012,.000053,-.000012,.000052,3.1e-06,1.7e-07,6.8e-06,.000413
